A125#//#2356#//#Ahmed Khaled#//#03518#//#1500.000000
A126#//#1425#//#Ali Hasan#//#0651538#//#5000.000000
A127#//#1256#//#Omar Azez#//#1346843#//#300.000000
A128#//#1295#//#Hana Zahed#//#135168#//#10.000000
A129#//#5236#//#Amen Mohammed#//#0651684#//#320.000000
A130#//#1365#//#Mazen Ali#//#0351656#//#21351.000000
A131#//#1563#//#Yaser Ibrahem#//#0351684#//#313513.000000
A132#//#1256#//#Eman Somida#//#03516843#//#13513.000000
A133#//#6523#//#Lana Ashraf#//#03513813#//#3513.000000
A134#//#5267#//#Ramy Imam#//#013866513#//#0.200000
A135#//#6587#//#Rana Ehab#//#03513846#//#2135.000000
A136#//#5472#//#Dalia Sameh#//#035168#//#10000.000000
A137#//#2010#//#Alia Hamed#//#0513884#//#12355.000000
A138#//#1358#//#Rana Hashem#//#0351384#//#132138.000000
A140#//#1212#//#Lamis Hadidy#//#035168#//#138431.000000
A141#//#1212#//#Lana Morad#//#1686#//#120.000000
A142#//#21212#//#Ahmed Lamor#//#05165168#//#120563.000000
